time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-03-12 03:14:13.947 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288453431,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,19,13737480,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:14:33.751 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288473298,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,8,13731240,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:17:33.419 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288652928,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,10,14799856,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:18:16.925 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288696461,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,14,13720288,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:20:20.864 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288820409,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,10,13751160,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:21:42.530 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288902026,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,10,13729136,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:32:54.184 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489289573648,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,13,13766120,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:37:50.740 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489289870186,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,12,14463336,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:39:43.772 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489289983303,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,17,14798464,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:41:53.449 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489290112877,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,10,13735216,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
