time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-04-14 12:35:34.205 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1492173333491, , , , ,3145728, , , , ,1,3,1,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , , , ,2,18,17640416,3, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 12:36:34.210 UTC, ,6191,3242207,3672,89808,480, ,10, ,20179, , , , , , , , , ,10,10, , , , , ,13, ,10045,3, , , , , , , , , , , , , ,8589965638,2,20002120,8589937181,1, ,9,18, , , , , , , , ,1221,6435,1, , , , ,22,54,63, , , , ,62,6346, , , , , , , , , , ,1492173333491, , , , ,3145728, , , ,1,38,10066,2382,10066,7,10066, , ,3,10071, , , ,3,1,75776,10,71556,17, , ,9936975,1217,25721441,10052, , , , ,1,79,99,239,46010648,4, , , , , , ,20205, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,64, , ,9999,62,9999, , , , , , 
2017-04-14 12:37:34.217 UTC, ,1178,3246338,3464,98952,480, ,10, ,9240, , , , , , , , , ,10,10, , , ,1, ,13, ,4751,4, , , , , , , , , , , , , ,21479234585,4,14378690,21479226678,2, ,19,38, , , , , , , ,4,3201,6149,3, ,2, ,2,18,54,62, , , , ,62,6062, , , , , , , , , , ,1492173333491, , , , ,3145728, , , ,4,7,4547,849,4547,10,4547, , ,3,4551, , , ,4,1,175175,22,233549,40, , ,29857589,3190,28362282,4510, , , , , , ,66,84,43264952,3, , , , , , ,9443, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59,4545, ,4545, , , , , , 
2017-04-14 12:38:34.228 UTC, ,1178,3246338,3464,98952,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,13, , , , , , , , , , , , , , , , ,21479234585,4,14378690,21479226678, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492173333491, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,46051960,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 12:39:34.238 UTC, ,1178,3246338,3464,98952,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,13, , , , , , , , , , , , , , , , ,21479234585,4,14378690,21479226678, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492173333491, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,49201512,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 12:40:34.250 UTC, ,1178,3246338,3464,98952,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,13, , , , , , , , , , , , , , , , ,21479234585,4,14378690,21479226678, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492173333491, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,8,14986288,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 12:41:34.255 UTC, ,1178,3246338,3464,98952,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,13, , , , , , , , , , , , , , , , ,21479234585,4,14378690,21479226678, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492173333491, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,18073792,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 12:42:34.263 UTC, ,1178,3246338,3464,98952,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,13, , , , , , , , , , , , , , , , ,21479234585,4,14378690,21479226678, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492173333491, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,20587976,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 12:43:34.271 UTC, ,1178,3246338,3464,98952,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,13, , , , , , , , , , , , , , , , ,21479234585,4,14378690,21479226678, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492173333491, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,23234672,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 12:44:34.319 UTC, ,1178,3246338,3464,98952,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,13, , , , , , , , , , , , , , , , ,21479234585,4,14378690,21479226678, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492173333491, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,25690176,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
